Year,Sample Location,Temp,PH,EC(µS/cm),TS(mg/l),TDS(mg/l),SS(mg/l),DO(mg/l),Salinity(%),month
2019,Chaktai Khal,28.8,7.88,10850,6736,6180,556,3.99,6.43,12
2020,CUFL,21.7,7.6,26700,18153,17820,333,8.3,18.41,1
2020,TSP,22.9,7.02,26780,14718,14520,198,7.38,15.01,1
2020,Chaktai Khal,22.5,7.49,11110,6935,6810,125,5.43,7.11,1
2020,CUFL,22.9,7.86,36630,18645,18327,318,7.67,19.04,2
2020,TSP,22.5,7.32,31670,15859,15677,182,7.7,16.43,2
2020,Chaktai Khal,22.8,7.55,11458,5760,5640,120,5.68,6.1,2
2020,CUFL,22.8,7.88,33756,19067,18642,425,7.73,18.72,3
2020,TSP,22.9,7.64,31121,17982,17614,368,6.17,16.61,3
2020,KAFCO,22.5,7.96,25963,16461,16142,319,7.12,17.98,3
2020,Chaktai Khal,23.1,7.69,6810,5158,4982,176,2.86,4.13,3
2020,CUFL,22,7.78,25500,17670,16340,1330,8.2,16.81,4
2020,TSP,22.6,7.58,25200,17206,16260,946,6.45,16.8,4
2020,KAFCO,22.5,7.9,25000,16896,16000,896,8.48,16.1,4
2020,Chaktai Khal,22,7.33,3510,2200,1976,224,3.38,2.01,4
2020,CUFL,21.9,7.72,9770,5733,5530,203,5.56,5.71,5
2020,TSP,22,7.1,2780,1706,1478,228,4.39,1.5,5
2020,Chaktai Khal,22.4,7.22,766,798,390,408,0.78,0.39,5
2020,CUFL,21,7.01,9310,4850,4630,220,5.9,5.1,6
2020,TSP,21.8,7.16,7042,3733,3528,205,5.29,4.01,6
2020,Chaktai Khal,21.9,7.2,574,603,290,313,4.07,0.31,6
2020,CUFL,21.3,7.73,3480,5264,1784,734,6.99,1.77,7
2020,TSP,21,7.78,2980,3733,1465,676,6.38,1.5,7
2020,Chaktai Khal,21,7,510,625,275,350,4.59,0.28,7
2020,CUFL,21.7,7.79,3509,2580,1800,780,6.88,1.67,8
2020,TSP,21.2,7.84,3160,2299,1509,790,6.3,1.7,8
2020,Chaktai Khal,21,7.1,640,690,320,370,4.5,0.3,8
2020,CUFL,22.7,7.76,3740,2693,2011,682,6.62,2.05,9
2020,TSP,22.9,7.83,3340,3278,1770,1508,6.44,1.8,9
2020,KAFCO,22.5,7.7,3770,3442,2012,1430,6.61,2.05,9
2020,Chaktai Khal,22.6,7.1,628,700,310,390,4.58,0.3,9
2020,CUFL,22.4,7.26,8070,2693,4720,183,7.13,4.8,10
2020,TSP,22.5,7.42,4550,3278,2570,83,7.35,2.63,10
2020,KAFCO,22.7,7.24,8610,3442,4560,117,7.27,4.69,10
2020,Chaktai Khal,22.6,7.12,690,690,340,350,4.6,0.35,10
2020,CUFL,22.9,8.17,19940,11870,11700,170,7.1,12.01,11
2020,TSP,22.6,8.24,17650,9850,9660,190,7.28,9.6,11
2020,KAFCO,23.5,8.37,21390,13835,13670,165,7.36,13.1,11
2020,Chaktai Khal,22.6,8.11,20245,13460,13210,250,4.14,13.21,11
2020,CUFL,22.7,7.25,30080,19903,19630,273,8.38,20.3,12
2020,TSP,22.7,7.58,19030,11698,11570,128,6.37,11.99,12
2020,KAFCO,22.6,7.78,30900,19940,19660,280,8.48,20.36,12
2020,Chaktai Khal,23,7.57,12260,7280,7170,110,5.86,7.43,12
2021,CUFL,21.7,7.77,30171.0,20512.9,20136.6,376.3,9.4,21.64,1
2021,TSP,22.9,7.18,30261.4,16631.3,16407.6,223.7,8.3,17.64,1
2021,Chaktai Khal,22.5,7.66,12554.3,7836.6,7695.3,141.3,6.1,8.36,1
2021,CUFL,22.9,8.04,41391.9,21068.9,20709.5,359.3,8.7,22.38,2
2021,TSP,22.5,7.49,35787.1,17920.7,17715.0,205.7,8.7,19.31,2
2021,Chaktai Khal,22.8,7.72,12947.5,6508.8,6373.2,135.6,6.4,7.17,2
2021,CUFL,22.8,8.06,38144.3,21545.7,21065.5,480.3,8.7,18.65,3
2021,TSP,22.9,7.82,35166.7,20319.7,19903.8,415.8,7.0,16.55,3
2021,KAFCO,22.5,8.14,29338.2,18600.9,18240.5,360.5,8.0,17.92,3
2021,Chaktai Khal,23.1,7.87,7695.3,5828.5,5629.7,198.9,3.2,4.12,3
2021,CUFL,22,7.96,28815.0,19967.1,18464.2,1502.9,9.3,16.75,4
2021,TSP,22.6,7.75,28476.0,19442.8,18373.8,1069.0,7.3,16.74,4
2021,KAFCO,22.5,8.08,28250.0,19092.5,18080.0,1012.5,9.6,16.04,4
